cell_id,x_original,y_original,x_cropped,y_cropped,x_standardized,y_standardized
260,6042.674429455186,20320.024654207966,561.6744294551863,14100.024654207966,238.7116325184542,5992.510478038385
261,6035.7059342413595,20292.391774208525,554.7059342413595,14072.391774208525,235.75002205257778,5980.766504038623
262,5992.824428291415,20287.43073254858,511.82442829141473,14067.430732548579,217.52538202385125,5978.658061333146
263,5999.2428969529865,20265.512320084952,518.2428969529865,14045.512320084952,220.25323120501926,5969.342736036105
264,6028.771279570112,20262.93509810775,547.7712795701118,14042.935098107751,232.8027938172975,5968.2474166957945
265,6039.934103928213,20248.37856079308,558.9341039282126,14028.37856079308,237.54699416949035,5962.060888337059
266,6059.8399069946745,20241.53983458719,578.8399069946745,14021.53983458719,246.00696047273667,5959.154429699556
267,5989.961042477633,20225.93472319081,508.9610424776329,14005.93472319081,216.30844305299397,5952.522257356094
268,6022.781738432523,20218.051496288954,541.7817384325226,13998.051496288954,230.2572388338221,5949.171885922805
269,6057.153766546262,20213.547319930836,576.153766546262,13993.547319930836,244.86535078216133,5947.257610970605
270,6026.342147933713,20184.226628392866,545.342147933713,13964.226628392866,231.77041287182803,5934.796317066968
271,5993.0212708763665,20173.12077360846,512.0212708763665,13953.120773608462,217.60904012245578,5930.076328783596
